Year,Monthly_Anomaly,Disaster_Count,Total_Deaths,Total_Damage
1949,1.0209166666666667,1,80.0,0.0
1982,0.8914166666666666,1,2.0,0.0
1983,0.6366666666666666,1,12.0,0.0
1984,-0.053083333333333343,2,0.0,0.0
1985,-0.3405,1,6.0,0.0
1986,-0.07883333333333332,1,5.0,0.0
1989,1.2279166666666665,1,0.0,1600000.0
1997,1.29,2,0.0,10000.0
1999,1.1158333333333332,1,0.0,0.0
2003,1.578083333333333,1,5.0,0.0
2005,0.7336666666666667,1,2.0,10000.0
2009,1.1236666666666666,1,0.0,0.0
2017,1.3370833333333332,1,0.0,0.0
